"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"9h","隆黄线黄织段","Longchang-Huangtong Line (Huangtong-Zhijin Sec.)",,,,,
"9i","湖雍线","Huchao-Nayong Line",,,,,
"9k","西成客专线","Xi'an-Chengdu Passenger Line",,,,,
"9m","峨眉山线","Emeishan Line",,,,,
"9n","襄渝线","Xiangyang-Chongqing Line",,,,,
"9o","襄渝渭井联络线","Xiangyu-Weijing Connection Line",,,,,
"9p","兴珞线","Xinglongchang-Luohuang Line",,,,,
"9q","陶铜联络线","Taojiachang-Tongguanyi Connection Line",,,,,
"9s","白覃联络线","Bailaping-Tanjiaping Connection Line",,,,,
"9t","内六线","Neijiang-Liupanshui Line",,,,,
"9v","高南线","Gaoxing-Nanchong Line",,,,,
"9x","水红线","Liupanshui-Hongguo Line",,,,,
"9y","川黔线","Sichuan-Guizhou Line",,,,,
"a0","盘西线","Panxian-Xipnig Line",,,,,
"a1","南昆线","Nanning-Kunming Line",,,,,
"a2","南昆客运专线","Nanning-Kunming Passenger Line",,,,,
"a3","田靖线","Tiandong-Jingxi Line",,,,,
"a4","威红线","Weishe-Hongguo Line",,,,,
"a5","成昆线","Chengdu-Kunming Line",,,,,
"a7","昆阳线","Kunyang Line",,,,,
"a9","昆玉线","Kunyang-Yuxi Line",,,,,
"ab","广昆线","Guangtong-Kunming Line",,,,,
"ac","甸尾联络线","Dianwei Connection Line",,,,,
"ad","赤木岭联络线","Chimuling Connection Line",,,,,
"ae","昆玉河线","Kunming-Yuxi-Hekou Line",,,,,
"ag","小团山联络线","Xiaotuanshan Connection Line",,,,,
"ak","楚大线","Chuxiong-Dali Line",,,,,
"am","通霍线","Tongliao-Huolinhe Line",,,,,
"ap","唐张线","Tangshan-Zhangjiakou Line",,,,,
"aq","京哈唐张联络线","Jing'ha-Tangzhang Connection Line",,,,,
"ar","唐张京通联络线","Tangzhang-Jingtong Connection Line",,,,,
"au","京通线","Beijing-Tongliao Line",,,,,
"av","京哈线","Beijing-Harbin Line",,,,,
"aw","京哈高速线沈哈段","Beijing-Harbin High Speed Line (Shenyang−Harbin Sec.)",,,,,
"ax","长西联络线","Changxi Connection Line",,,,,
"ay","哈长联络线","Hachang Connection Line",,,,,
"az","松团线","Songyuan-Tuanshan Line",,,,,
"b1","长珲城际线","Changchun-Hunchuan Intercity Line",,,,,
"b3","京哈高速线承沈段","Beijing-Harbin High Speed Line (Chengde−Shenyang Sec.)",,,,,
"b6","津山线","Tianjin-Shanhaiguan Line",,,,,
"b7","沈山线","Shenyang-Shanhaiguan Line",,,,,
"b9","七滦线","Qidaoqiao-Luanxian Line",,,,,
"ba","唐曹线","Tangshan-Caofeidian Line",,,,,
"bb","曹妃甸港线","Caofeidiangang Line",,,,,
"bf","新义线","Xinlutun-Yixian Line",,,,,
"bg","阜金线","Fuxin-Lijin Line",,,,,
"bh","锦新联络线","Jinxin Connection Line",,,,,
"bi","叶赤线","Yebaishou-Chifeng Line",,,,,
"bj","三渤线","Santai-Bohai Line",,,,,
"bk","马林联络线","Masanjia-Xidalin Connection Line",,,,,
"bl","沟海线","Goubangzi-Haicheng Railway",,,,,
"bm","大郑线","Dahushan-Zhengjiatun Line",,,,,
"bn","高新线","Gaotaishan-Xinlitun Line",,,,,
"bp","甘库线","Ganqika-Hure Line",,,,,
"bq","新通客专线","Xinmin-Tongliao Passenger Line",,,,,
"bt","陶舒线","Taolaizhao-Shulan Line",,,,,
"bu","沈大线","Shenyang-Dalian Line",,,,,
"bw","沈大高速线","Shenyang-Dalian High Speed Line",,,,,
"c0","沈丹客运专线","Shenyang-Dandong Intercity Line",,,,,
"c1","丹大城际线","Dandong-Dalian Intercity Line",,,,,
"c4","凤上线","Fenghuangcheng-Shanghekou Line",,,,,
"c5","辽溪线","Liaoyang-Benxi Line",,,,,
"c6","营口线","Yingkou Railway",,,,,
"c8","沈吉线","Shenyang-Jilin Line",,,,,
"c9","四梅线","Siping-Meihekou Line",,,,,
"ca","开源线","Kaiyuan-Liaoyuan Line",,,,,
"cb","双白线","Shuangyang-Baiquan Line",,,,,
"ce","梅集线","Meihekou-Ji'an Line",,,,,
"cg","通灌线","Tonghua-Guanshui Line",,,,,
"cj","白和线","Baihe-Helong Line",,,,,
"ck","和龙线","Helong-Longjing Line Line",,,,,
"cm","宇松线","Yujing-Songjianghe Line",,,,,
"cn","长图线","Changchun-Tumen Line",,,,,
"co","吉舒线","Jilin-Shulan Line",,,,,
"cr","苇亚线","Weihe-Yabuli Line",,,,,
"cs","滨绥线","Harbin-Suifenhe Line",,,,,
"cw","哈牡客专线","Harbin-Mudanjiang Line",,,,,
"d0","城鸡线","Xiachengzi-Jixi Line",,,,,
"d1","林东线","Linkou-Dongfanghong Line",,,,,
"d2","勃七线","Boli-Qitaihe Line",,,,,
"d3","滨北线","Harbin-Bei'an Line",,,,,
"d4","绥佳线","Suihua-Jiamusi Line",,,,,
"d5","佳富线","Jiamusi-Shuangyashan Line",,,,,
"d7","南乌线","Nancha-Wuyiling Line",,,,,
"d8","前抚线","Qianjinzhen-Fuyuan Line",,,,,
"d9","福前线","Fulitun-Qianjinzhen Line",,,,,
"da","北黑线","Bei'an-Heihe Line",,,,,
"db","友宝线","Xinyouyi-Baoqing Line",,,,,
"dc","向哈线","Xiangyangchuan-Hayudao Line",,,,,
"dd","齐北线","Qiqihar-Bei'an  Line",,,,,
"de","平齐线","Siping-Qiqihar Line",,,,,
"dh","通让线","Tongliao-Ranghulu Line",,,,,
"di","长白线","Changchun-Baicheng Line",,,,,
"dj","白阿线","Baicheng-Arxan Line",,,,,
"dk","大安联络线","Da'an Connection Line",,,,,
"dl","大安西联络线","Da'an West Connection Line",,,,,
"dm","滨洲线","Harbin-Manzhouli Line",,,,,
"do","伊敏线","Yimin Line",,,,,
"dp","伊阿线","Yimin-Arxan Line",,,,,
"dq","哈齐客运专线","Harbin-Qiqihar Passenger Line",,,,,
"dr","牙林线","Yakeshi-Mangui Line",,,,,
"dt","伊加线","Yitulihe-Jagdaqi Line",,,,,
"du","富西线","Fuyu-Xilinji Line",,,,,
"dv","林碧线","Linhai-Beishui Line",,,,,
